#,Name,Age,Ctry,Pts
1,Jannik Sinner,23,ITA,12030
2,Carlos Alcaraz,22,ESP,8600
3,Alexander Zverev,28,GER,6030
4,Taylor Fritz,27,USA,5035
5,Jack Draper,23,GBR,4650
6,Novak Djoković,38,SRB,4130
7,Lorenzo Musetti,23,ITA,3350
8,Ben Shelton,22,USA,3330
9,Holger Rune,22,DEN,3250
10,Andrey Rublev,27,RUS,3160
11,Frances Tiafoe,27,USA,2940
12,Casper Ruud,26,NOR,2905
13,Alex de Minaur,26,AUS,2885
14,Daniil Medvedev,29,RUS,2630
15,Tommy Paul,28,USA,2620
16,Karen Khachanov,29,RUS,2590
17,Jakub Menšík,19,CZE,2446
18,Flavio Cobolli,23,ITA,2360
19,Francisco Cerúndolo,26,ARG,2285
20,Grigor Dimitrov,34,BUL,2155
21,Arthur Fils,21,FRA,2130
22,Tomáš Macháč,24,CZE,2110
23,Ugo Humbert,27,FRA,2095
24,Alexei Popyrin,25,AUS,2050
25,Jiří Lehečka,23,CZE,2015
26,Alejandro Davidovich Fokina,26,ESP,1945
27,Félix Auger-Aliassime,24,CAN,1865
28,Denis Shapovalov,26,CAN,1836
29,Stefanos Tsitsipas,26,GRE,1825
30,Alexander Bublik,28,KAZ,1825
31,Tallon Griekspoor,29,NED,1715
32,Brandon Nakashima,23,USA,1650
33,Sebastian Korda,25,USA,1645
34,Alex Michelsen,20,USA,1555
35,Gabriel Diallo,23,CAN,1358
36,Jordan Thompson,31,AUS,1350
37,Lorenzo Sonego,30,ITA,1321
38,Hubert Hurkacz,28,POL,1285
39,Alexandre Müller,28,FRA,1271
40,Nuno Borges,28,POR,1265
41,Cameron Norrie,29,GBR,1227
42,Matteo Berrettini,29,ITA,1225
43,Sebastián Báez,24,ARG,1220
44,Matteo Arnaldi,24,ITA,1215
45,Giovanni Mpetshi Perricard,22,FRA,1205
46,Luciano Darderi,23,ITA,1189
47,João Fonseca,18,BRA,1116
48,Gaël Monfils,38,FRA,1115
49,Miomir Kecmanović,25,SRB,1106
50,Jaume Munar,28,ESP,1062
51,Camilo Ugo Carabelli,26,ARG,1058
52,Zizou Bergs,26,BEL,1049
53,Roberto Bautista Agut,37,ESP,1046
54,Fábián Marozsán,25,HUN,1030
55,Jacob Fearnley,24,GBR,1020
56,Daniel Altmaier,26,GER,973
57,Marcos Giron,32,USA,960
58,Tomás Martín Etcheverry,26,ARG,960
59,Corentin Moutet,26,FRA,944
60,David Goffin,34,BEL,939
61,Damir Džumhur,33,BIH,936
62,Pedro Martínez,28,ESP,930
63,Mattia Bellucci,24,ITA,924
64,Marin Čilić,36,CRO,922
65,Arthur Rinderknech,30,FRA,914
66,Aleksandar Kovačević,26,USA,914
67,Learner Tien,19,USA,912
68,Laslo Djere,30,SRB,911
69,Benjamin Bonzi,29,FRA,905
70,Kei Nishikori,35,JPN,893
71,Quentin Halys,28,FRA,886
72,Hamad Medjedović,22,SRB,871
73,Francisco Comesaña,24,ARG,861
74,Reilly Opelka,27,USA,827
75,Yunchaokete Bu,23,CHN,812
76,Mariano Navone,24,ARG,785
77,Christopher O'Connell,31,AUS,775
78,Kamil Majchrzak,29,POL,752
79,Vít Kopřiva,28,CZE,744
80,Roman Safiullin,27,RUS,741
