Date,Tournament,Surface,Sinner Rank,Opponent Rank,Matchup,Score
24‑Nov‑2024,Davis Cup Finals F: ITA vs NED,Hard,1,40,Sinner d. Tallon Griekspoor [NED],7-6(2) 6-2
23‑Nov‑2024,Davis Cup Finals SF: ITA vs AUS,Hard,1,9,Sinner d. Alex De Minaur [AUS],6-3 6-4
21‑Nov‑2024,Davis Cup Finals QF: ITA vs ARG,Hard,1,27,Sinner d. Sebastian Baez [ARG],6-2 6-1
11‑Nov‑2024,Tour Finals,Hard,1,5,(1)Sinner d. (5)Taylor Fritz [USA],6-4 6-4
11‑Nov‑2024,Tour Finals,Hard,1,7,(1)Sinner d. (6)Casper Ruud [NOR],6-1 6-2
11‑Nov‑2024,Tour Finals,Hard,1,4,(1)Sinner d. (4)Daniil Medvedev [RUS],6-3 6-4
11‑Nov‑2024,Tour Finals,Hard,1,5,(1)Sinner d. (5)Taylor Fritz [USA],6-4 6-4
11‑Nov‑2024,Tour Finals,Hard,1,9,(1)Sinner d. (7)Alex De Minaur [AUS],6-3 6-4
2‑Oct‑2024,Shanghai Masters,Hard,1,4,(1)Sinner d. (4)Novak Djokovic [SRB],7-6(4) 6-3
2‑Oct‑2024,Shanghai Masters,Hard,1,33,(1)Sinner d. (30)Tomas Machac [CZE],6-4 7-5
2‑Oct‑2024,Shanghai Masters,Hard,1,5,(1)Sinner d. (5)Daniil Medvedev [RUS],6-1 6-4
2‑Oct‑2024,Shanghai Masters,Hard,1,16,(1)Sinner d. (14)Ben Shelton [USA],6-4 7-6(1)
2‑Oct‑2024,Shanghai Masters,Hard,1,37,(1)Sinner d. (31)Tomas Martin Etcheverry [ARG],6-7(3) 6-4 6-2
2‑Oct‑2024,Shanghai Masters,Hard,1,93,(1)Sinner d. Taro Daniel [JPN],6-1 6-4
26‑Sep‑2024,Beijing,Hard,1,3,(2)Carlos Alcaraz [ESP] d. (1)Sinner,6-7(6) 6-4 7-6(3)
26‑Sep‑2024,Beijing,Hard,1,96,(1)Sinner d. (WC)Bu Yunchaokete [CHN],6-3 7-6(3)
26‑Sep‑2024,Beijing,Hard,1,37,(1)Sinner d. Jiri Lehecka [CZE],6-2 7-6(6)
26‑Sep‑2024,Beijing,Hard,1,69,(1)Sinner d. (LL)Roman Safiullin [RUS],3-6 6-2 6-3
26‑Sep‑2024,Beijing,Hard,1,28,(1)Sinner d. Nicolas Jarry [CHI],4-6 6-3 6-1
26‑Aug‑2024,US Open,Hard,1,12,(1)Sinner d. (12)Taylor Fritz [USA],6-3 6-4 7-5
26‑Aug‑2024,US Open,Hard,1,25,(1)Sinner d. (25)Jack Draper [GBR],7-5 7-6(3) 6-2
26‑Aug‑2024,US Open,Hard,1,5,(1)Sinner d. (5)Daniil Medvedev [RUS],6-2 1-6 6-1 6-4
26‑Aug‑2024,US Open,Hard,1,14,(1)Sinner d. (14)Tommy Paul [USA],7-6(3) 7-6(5) 6-1
26‑Aug‑2024,US Open,Hard,1,87,(1)Sinner d. Christopher Oconnell [AUS],6-1 6-4 6-2
26‑Aug‑2024,US Open,Hard,1,49,(1)Sinner d. Alex Michelsen [USA],6-4 6-0 6-2
26‑Aug‑2024,US Open,Hard,1,140,(1)Sinner d. Mackenzie Mcdonald [USA],2-6 6-2 6-1 6-2
12‑Aug‑2024,Cincinnati Masters,Hard,1,26,(1)Sinner d. Frances Tiafoe [USA],7-6(4) 6-2
12‑Aug‑2024,Cincinnati Masters,Hard,1,4,(1)Sinner d. (3)Alexander Zverev [GER],7-6(9) 5-7 7-6(4)
12‑Aug‑2024,Cincinnati Masters,Hard,1,6,(1)Sinner d. (6)Andrey Rublev [RUS],4-6 7-5 6-4
12‑Aug‑2024,Cincinnati Masters,Hard,1,32,(1)Sinner d. Jordan Thompson [AUS],W/O
12‑Aug‑2024,Cincinnati Masters,Hard,1,57,(1)Sinner d. (Q)Alex Michelsen [USA],6-4 7-5
5‑Aug‑2024,Canada Masters,Hard,1,8,(5)Andrey Rublev [RUS] d. (1)Sinner,6-3 1-6 6-2
5‑Aug‑2024,Canada Masters,Hard,1,21,(1)Sinner d. (15)Alejandro Tabilo [CHI],6-4 6-3
5‑Aug‑2024,Canada Masters,Hard,1,94,(1)Sinner d. (Q)Borna Coric [CRO],6-2 6-4
1‑Jul‑2024,Wimbledon,Grass,1,5,(5)Daniil Medvedev [RUS] d. (1)Sinner,6-7(7) 6-4 7-6(4) 2-6 6-3
1‑Jul‑2024,Wimbledon,Grass,1,14,(1)Sinner d. (14)Ben Shelton [USA],6-2 6-4 7-6(9)
1‑Jul‑2024,Wimbledon,Grass,1,52,(1)Sinner d. Miomir Kecmanovic [SRB],6-1 6-4 6-2
1‑Jul‑2024,Wimbledon,Grass,1,59,(1)Sinner d. Matteo Berrettini [ITA],7-6(3) 7-6(4) 2-6 7-6(4)
1‑Jul‑2024,Wimbledon,Grass,1,110,(1)Sinner d. Yannick Hanfmann [GER],6-3 6-4 3-6 6-3
17‑Jun‑2024,Halle,Grass,1,9,(1)Sinner d. (5)Hubert Hurkacz [POL],7-6(8) 7-6(2)
17‑Jun‑2024,Halle,Grass,1,42,(1)Sinner d. Zhizhen Zhang [CHN],6-4 7-6(3)
17‑Jun‑2024,Halle,Grass,1,41,(1)Sinner d. Jan Lennard Struff [GER],6-2 6-7(1) 7-6(3)
17‑Jun‑2024,Halle,Grass,1,45,(1)Sinner d. Fabian Marozsan [HUN],6-4 6-7(4) 6-3
17‑Jun‑2024,Halle,Grass,1,27,(1)Sinner d. Tallon Griekspoor [NED],6-7(8) 6-3 6-2
27‑May‑2024,Roland Garros,Clay,2,3,(3)Carlos Alcaraz [ESP] d. (2)Sinner,2-6 6-3 3-6 6-4 6-3
27‑May‑2024,Roland Garros,Clay,2,10,(2)Sinner d. (10)Grigor Dimitrov [BUL],6-2 6-4 7-6(3)
27‑May‑2024,Roland Garros,Clay,2,79,(2)Sinner d. Corentin Moutet [FRA],2-6 6-3 6-2 6-1
27‑May‑2024,Roland Garros,Clay,2,56,(2)Sinner d. Pavel Kotov [RUS],6-4 6-4 6-4
27‑May‑2024,Roland Garros,Clay,2,124,(2)Sinner d. (WC)Richard Gasquet [FRA],6-4 6-2 6-4
27‑May‑2024,Roland Garros,Clay,2,46,(2)Sinner d. Christopher Eubanks [USA],6-3 6-3 6-4
